file,class,method,variable,usage
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-execute-service/src/test/java/execute/controller/ExecuteControlllerTest.java,execute.controller.ExecuteControlllerTest,testExecuteTicket/0,response,2
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-execute-service/src/test/java/execute/controller/ExecuteControlllerTest.java,execute.controller.ExecuteControlllerTest,testExecuteTicket/0,mockMvc,1
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-execute-service/src/test/java/execute/controller/ExecuteControlllerTest.java,execute.controller.ExecuteControlllerTest,testExecuteTicket/0,executeService,1
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-execute-service/src/test/java/execute/controller/ExecuteControlllerTest.java,execute.controller.ExecuteControlllerTest,setUp/0,mockMvc,1
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-execute-service/src/test/java/execute/controller/ExecuteControlllerTest.java,execute.controller.ExecuteControlllerTest,setUp/0,executeController,1
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-execute-service/src/test/java/execute/controller/ExecuteControlllerTest.java,execute.controller.ExecuteControlllerTest,testCollectTicket/0,response,2
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-execute-service/src/test/java/execute/controller/ExecuteControlllerTest.java,execute.controller.ExecuteControlllerTest,testCollectTicket/0,mockMvc,1
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-execute-service/src/test/java/execute/controller/ExecuteControlllerTest.java,execute.controller.ExecuteControlllerTest,testCollectTicket/0,executeService,1
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/old-docs/Lib/ms-monitoring-core/src/main/java/org/myproject/ms/monitoring/ChainKeys.java,org.myproject.ms.monitoring.ChainKeys$Hystrix,getCommandKey/0,commandKey,1
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/old-docs/Lib/ms-monitoring-core/src/main/java/org/myproject/ms/monitoring/ChainKeys.java,org.myproject.ms.monitoring.ChainKeys$Hystrix,getCommandGroup/0,commandGroup,1
