file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-admin-route-service/src/main/java/adminroute/service/AdminRouteServiceImpl.java,adminroute.service.AdminRouteServiceImpl$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-execute-service/src/main/java/execute/config/SecurityConfig.java,execute.config.SecurityConfig,class,13,13,0,13,3,2,0,15,3,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,0,9,0,0,0,0,0,1,0,0,65,1,0
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-train-service/src/main/java/train/entity/TrainType.java,train.entity.TrainType,class,8,15,7,8,3,1,0,0,1,0.53333336,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,5,0,0,5,0,0,0,0,0,20,0,0,0,0,0,7,1,7,0,5,0,0,0,0,12,1,0
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/old-docs/Lib/ms-monitoring-core/src/main/java/org/myproject/ms/monitoring/antn/SleuthAdvisorConfig.java,org.myproject.ms.monitoring.antn.SleuthAdvisorConfig$AnnotationMethodsResolver,innerclass,1,1,0,1,2,1,0,2,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,22,1,0,0,0,0,0,0,2,0,2,0,1,0,0,12,10,0
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/old-docs/Lib/ms-monitoring-core/src/main/java/org/myproject/ms/monitoring/instrument/web/TWAConf.java,org.myproject.ms.monitoring.instrument.web.TWAConf$SkipPatternProvider,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-inside-payment-service/src/main/java/inside_payment/repository/PaymentRepository.java,inside_payment.repository.PaymentRepository,interface,2,4,2,2,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-verification-code-service/src/test/java/verifycode/service/VerifyCodeServiceImplTest.java,verifycode.service.VerifyCodeServiceImplTest$Anonymous2,anonymous,2,2,0,2,37,1,0,0,666,0.0,0.0,0.0,37,0,37,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,92,16,0,0,0,0,0,2,0,0,0,0,0,0,0,48,-1,0
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-verification-code-service/src/test/java/verifycode/service/VerifyCodeServiceImplTest.java,verifycode.service.VerifyCodeServiceImplTest$Anonymous1,anonymous,12,12,0,12,69,1,0,0,2346,0.0,0.0,0.0,69,0,69,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,204,64,0,0,0,0,0,9,0,0,0,0,0,0,0,96,-1,0
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/old-docs/Lib/ms-monitoring-core/src/main/java/org/myproject/ms/monitoring/antn/SleuthAnnotationAutoConfiguration.java,org.myproject.ms.monitoring.antn.SleuthAnnotationAutoConfiguration,class,17,17,0,17,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,1,0,0,0,0,0,0,0,0,24,1,0
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/old-docs/Lib/ms-monitoring-core/src/main/java/org/myproject/ms/monitoring/instrument/web/ZHSExtra.java,org.myproject.ms.monitoring.instrument.web.ZHSExtra,class,7,9,2,7,20,1,0,40,9,0.7333333,1.0,1.0,6,0,2,4,0,0,2,0,0,0,5,4,0,4,0,1,5,0,9,82,7,1,3,1,0,7,4,16,4,16,2,0,0,0,73,1,2
