file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/old-docs/Lib/ms-monitoring-core/src/main/java/org/myproject/ms/monitoring/ChainKeys.java,org.myproject.ms.monitoring.ChainKeys$Hystrix,getPrefix/0,false,240,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-contacts-service/src/main/java/contacts/service/ContactsServiceImpl.java,contacts.service.ContactsServiceImpl,"create/2[contacts.entity.Contacts,contacts.service.HttpHeaders]",false,61,4,3,2,1,2,8,12,2,2,2,8,0,0,0,1,0,0,4,2,2,0,1,0,0,0,11,1,2,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-contacts-service/src/main/java/contacts/service/ContactsServiceImpl.java,contacts.service.ContactsServiceImpl,"findContactsByAccountId/2[java.lang.String,contacts.service.HttpHeaders]",false,42,4,2,1,1,1,3,5,1,1,2,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,9,1,1,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-contacts-service/src/main/java/contacts/service/ContactsServiceImpl.java,contacts.service.ContactsServiceImpl,"delete/2[java.lang.String,contacts.service.HttpHeaders]",false,76,4,4,2,2,2,5,12,2,1,2,5,0,0,0,1,0,0,4,2,1,0,1,0,0,0,10,1,2,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-contacts-service/src/main/java/contacts/service/ContactsServiceImpl.java,contacts.service.ContactsServiceImpl,"modify/2[contacts.entity.Contacts,contacts.service.HttpHeaders]",false,89,4,3,2,1,2,15,19,2,2,2,15,1,1,0,1,0,0,4,2,3,0,1,0,0,0,12,1,3,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-contacts-service/src/main/java/contacts/service/ContactsServiceImpl.java,contacts.service.ContactsServiceImpl,"findContactsById/2[java.lang.String,contacts.service.HttpHeaders]",false,30,4,4,3,1,2,4,11,2,1,2,4,0,0,0,1,0,0,3,2,1,1,1,0,0,0,19,1,2,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-contacts-service/src/main/java/contacts/service/ContactsServiceImpl.java,contacts.service.ContactsServiceImpl,getAllContacts/1[contacts.service.HttpHeaders],false,109,4,3,2,1,3,3,10,2,1,1,3,0,0,0,1,0,0,3,2,1,0,1,0,0,0,10,1,1,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-contacts-service/src/main/java/contacts/service/ContactsServiceImpl.java,contacts.service.ContactsServiceImpl,"createContacts/2[contacts.entity.Contacts,contacts.service.HttpHeaders]",false,49,4,3,2,1,2,7,11,2,1,2,7,0,0,0,1,0,0,3,2,1,0,1,0,0,0,8,1,1,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-verification-code-service/src/main/java/verifycode/service/VerifyCodeService.java,verifycode.service.VerifyCodeService,"getImageCode/6[int,int,java.io.OutputStream,verifycode.service.HttpServletRequest,verifycode.service.HttpServletResponse,verifycode.service.HttpHeaders]",false,15,3,2,2,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-verification-code-service/src/main/java/verifycode/service/VerifyCodeService.java,verifycode.service.VerifyCodeService,"verifyCode/4[verifycode.service.HttpServletRequest,verifycode.service.HttpServletResponse,java.lang.String,verifycode.service.HttpHeaders]",false,17,3,2,2,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-station-food-service/src/main/java/food/entity/StationFoodStore.java,food.entity.StationFoodStore,StationFoodStore/0,true,42,0,6,6,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,1,0,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-user-service/src/main/java/user/service/UserService.java,user.service.UserService,"saveUser/2[user.dto.UserDto,user.service.HttpHeaders]",false,13,3,2,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-user-service/src/main/java/user/service/UserService.java,user.service.UserService,"deleteUser/2[java.lang.String,user.service.HttpHeaders]",false,21,2,2,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-user-service/src/main/java/user/service/UserService.java,user.service.UserService,getAllUsers/1[user.service.HttpHeaders],false,15,2,2,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-user-service/src/main/java/user/service/UserService.java,user.service.UserService,"updateUser/2[user.dto.UserDto,user.service.HttpHeaders]",false,23,3,2,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-user-service/src/main/java/user/service/UserService.java,user.service.UserService,"findByUserId/2[java.lang.String,user.service.HttpHeaders]",false,18,2,2,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-user-service/src/main/java/user/service/UserService.java,user.service.UserService,"findByUserName/2[java.lang.String,user.service.HttpHeaders]",false,17,2,2,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/old-docs/Lib/ms-monitoring-core/src/main/java/org/myproject/ms/monitoring/instrument/msg/TMHead.java,org.myproject.ms.monitoring.instrument.msg.TMHead,TMHead/0,true,19,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-inside-payment-service/src/main/java/inside_payment/entity/OutsidePaymentInfo.java,inside_payment.entity.OutsidePaymentInfo,OutsidePaymentInfo/0,true,10,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-basic-service/src/main/java/fdse/microservice/config/SecurityConfig.java,fdse.microservice.config.SecurityConfig,configure/1[fdse.microservice.config.HttpSecurity],false,63,3,1,0,1,1,14,4,0,0,1,14,0,0,0,0,0,0,7,0,0,0,0,0,0,0,18,4,0,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-basic-service/src/main/java/fdse/microservice/config/SecurityConfig.java,fdse.microservice.config.SecurityConfig,passwordEncoder/0,false,34,3,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-basic-service/src/main/java/fdse/microservice/config/SecurityConfig.java,fdse.microservice.config.SecurityConfig,corsConfigurer/0,false,47,4,0,0,0,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,43,1,0,true
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-admin-travel-service/src/main/java/admintravel/service/AdminTravelService.java,admintravel.service.AdminTravelService,"deleteTravel/2[java.lang.String,admintravel.service.HttpHeaders]",false,38,2,2,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,true
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-admin-travel-service/src/main/java/admintravel/service/AdminTravelService.java,admintravel.service.AdminTravelService,"addTravel/2[admintravel.service.TravelInfo,admintravel.service.HttpHeaders]",false,20,3,2,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,true
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-admin-travel-service/src/main/java/admintravel/service/AdminTravelService.java,admintravel.service.AdminTravelService,"updateTravel/2[admintravel.service.TravelInfo,admintravel.service.HttpHeaders]",false,29,3,2,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,true
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-admin-travel-service/src/main/java/admintravel/service/AdminTravelService.java,admintravel.service.AdminTravelService,getAllTravels/1[admintravel.service.HttpHeaders],false,12,2,2,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,true
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-common/src/main/java/edu/fudan/common/entity/TripId.java,edu.fudan.common.entity.TripId,TripId/0,true,16,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-common/src/main/java/edu/fudan/common/entity/TripId.java,edu.fudan.common.entity.TripId,TripId/1[java.lang.String],true,20,0,0,0,0,6,2,23,0,1,1,2,0,0,0,0,0,0,0,2,7,0,1,0,0,0,5,1,0,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-common/src/main/java/edu/fudan/common/entity/TripId.java,edu.fudan.common.entity.TripId,toString/0,false,42,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-inside-payment-service/src/main/java/inside_payment/async/ExecutorConfig.java,inside_payment.async.ExecutorConfig,mySimpleAsync/0,false,25,2,0,0,0,1,5,9,1,1,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,13,1,0,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-inside-payment-service/src/main/java/inside_payment/async/ExecutorConfig.java,inside_payment.async.ExecutorConfig,myAsync/0,false,36,2,0,0,0,1,6,10,1,1,0,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,12,1,0,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-inside-payment-service/src/main/java/inside_payment/service/InsidePaymentServiceImpl.java,inside_payment.service.InsidePaymentServiceImpl,"drawBack/3[java.lang.String,java.lang.String,inside_payment.service.HttpHeaders]",false,245,3,0,0,0,2,6,14,2,1,3,6,0,0,0,1,0,0,3,2,1,0,1,0,0,0,10,1,1,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-inside-payment-service/src/main/java/inside_payment/service/InsidePaymentServiceImpl.java,inside_payment.service.InsidePaymentServiceImpl,"initPayment/2[inside_payment.service.Payment,inside_payment.service.HttpHeaders]",false,361,2,0,0,0,2,5,9,0,1,2,5,0,0,0,1,0,0,1,0,1,0,1,0,0,0,7,1,1,false
